Shift,Serial,OpenMP,OpenCL
369,-17747.924,-17747.924,-17747.916
370, -8686.353, -8686.353, -8686.354
371,-15498.084,-15498.084,-15498.083
372, -9750.341, -9750.341, -9750.342
373,   337.268,   337.268,   337.266
374, -3910.313, -3910.313, -3910.316
375, -1912.437, -1912.437, -1912.441
376, -3774.863, -3774.863, -3774.857
377, -9057.707, -9057.707, -9057.701
378,  7852.484,  7852.484,  7852.482
379, 11087.930, 11087.930, 11087.923
380,  4532.210,  4532.210,  4532.209
381, 12262.190, 12262.190, 12262.191
382,  7988.037,  7988.037,  7988.035
383, 14093.242, 14093.242, 14093.237
384,  3519.177,  3519.177,  3519.178
385, 15209.333, 15209.333, 15209.331
386, 11889.470, 11889.470, 11889.469
387, 13389.645, 13389.645, 13389.641
388, 26878.590, 26878.590, 26878.592
389, 19950.291, 19950.291, 19950.291
390, 28530.494, 28530.494, 28530.490
391, 30717.715, 30717.715, 30717.715
392, 28215.328, 28215.328, 28215.328
393, 31120.809, 31120.809, 31120.803
394, 26489.242, 26489.242, 26489.248
395, 33192.656, 33192.656, 33192.660
396, 29266.498, 29266.498, 29266.500
397, 29805.840, 29805.840, 29805.844
398, 27242.309, 27242.309, 27242.309
399, 29918.928, 29918.928, 29918.934
400, 31893.672, 31893.672, 31893.676
401, 44554.762, 44554.762, 44554.762
402, 41185.219, 41185.219, 41185.230
403, 37728.387, 37728.387, 37728.395
404, 44115.254, 44115.254, 44115.250
405, 41165.996, 41165.996, 41166.000
406, 62343.715, 62343.715, 62343.727
407, 44449.133, 44449.133, 44449.129
408, 36481.047, 36481.047, 36481.043
409, 48211.375, 48211.375, 48211.375
410, 48034.809, 48034.809, 48034.805
411, 54764.672, 54764.672, 54764.680
412, 42948.641, 42948.641, 42948.645
413, 48433.203, 48433.203, 48433.195
414, 66709.148, 66709.148, 66709.148
415, 51986.234, 51986.234, 51986.230
416, 58289.855, 58289.855, 58289.855
417, 59539.832, 59539.832, 59539.816
418, 58795.090, 58795.090, 58795.086
419, 60142.789, 60142.789, 60142.781
420, 65458.094, 65458.094, 65458.094
421, 58179.879, 58179.879, 58179.879
422, 53528.055, 53528.055, 53528.059
423, 74888.773, 74888.773, 74888.766
424, 58178.746, 58178.746, 58178.746
425, 63242.020, 63242.020, 63242.012
426, 67370.938, 67370.938, 67370.930
427, 58595.848, 58595.848, 58595.840
428, 65039.062, 65039.062, 65039.062
429, 67376.922, 67376.922, 67376.922
430, 55373.371, 55373.371, 55373.379
431, 54018.730, 54018.730, 54018.727
