Shift,Serial,OpenMP,SIMD
434, 47741.148, 47741.148, 47741.277
435, 58440.887, 58440.887, 58440.727
436, 56186.426, 56186.426, 56186.523
437, 75416.203, 75416.203, 75416.438
438, 54157.914, 54157.914, 54158.074
439, 68078.695, 68078.695, 68078.633
440, 62172.211, 62172.211, 62172.164
441, 62547.621, 62547.621, 62547.680
442, 63160.691, 63160.691, 63160.508
443, 61900.148, 61900.148, 61900.055
444, 52304.844, 52304.844, 52304.844
445, 52780.496, 52780.496, 52780.691
446, 53442.648, 53442.648, 53442.449
447, 60151.953, 60151.953, 60151.684
448, 62266.215, 62266.215, 62266.477
449, 53315.012, 53315.012, 53315.055
450, 54047.422, 54047.422, 54047.477
451, 59750.551, 59750.551, 59750.762
452, 44679.516, 44679.516, 44679.270
453, 60303.984, 60303.984, 60303.695
454, 44729.969, 44729.969, 44729.926
455, 49522.344, 49522.344, 49522.305
456, 41391.414, 41391.414, 41391.473
457, 39860.973, 39860.973, 39860.598
458, 43237.129, 43237.129, 43237.113
459, 46302.898, 46302.898, 46302.898
460, 44817.406, 44817.406, 44817.328
461, 35599.289, 35599.289, 35599.324
462, 36324.406, 36324.406, 36324.312
463, 28471.930, 28471.930, 28471.930
464, 39148.566, 39148.566, 39148.531
465, 27053.209, 27053.209, 27053.207
466, 30416.484, 30416.484, 30416.498
467, 40219.617, 40219.617, 40219.625
468, 24797.158, 24797.158, 24797.203
469, 28719.627, 28719.627, 28719.633
470, 21363.445, 21363.445, 21363.480
471, 10187.189, 10187.189, 10187.154
472, 18502.451, 18502.451, 18502.445
473, 25740.553, 25740.553, 25740.518
474, 16382.473, 16382.473, 16382.332
475, 24426.227, 24426.227, 24426.309
476, 23242.004, 23242.004, 23241.941
477, 20890.613, 20890.613, 20890.648
478, 12831.065, 12831.065, 12831.074
479, 14695.952, 14695.952, 14695.975
480,   759.708,   759.708,   759.715
481,   219.163,   219.163,   219.198
482,  5928.903,  5928.903,  5928.878
483,  2757.834,  2757.834,  2757.842
484, -4880.407, -4880.407, -4880.393
485,  3528.152,  3528.152,  3528.161
486, -4992.109, -4992.109, -4992.105
487,   489.705,   489.705,   489.717
488, -1642.434, -1642.434, -1642.410
489,  -593.004,  -593.004,  -592.988
490,  -983.035,  -983.035,  -983.023
491, -2474.794, -2474.794, -2474.795
492, -7397.817, -7397.817, -7397.823
493,-17440.512,-17440.512,-17440.502
494,-31581.654,-31581.654,-31581.691
495,-18343.035,-18343.035,-18343.062
496,-18460.131,-18460.131,-18460.084
497,-22484.789,-22484.789,-22484.730
498,-32463.156,-32463.156,-32463.246
499,-20879.900,-20879.900,-20879.797
500,-24868.252,-24868.252,-24868.279
501,-14849.878,-14849.878,-14849.872
502,-29143.590,-29143.590,-29143.623
503,-28081.500,-28081.500,-28081.521
504,-27371.686,-27371.686,-27371.752
505,-29216.006,-29216.006,-29216.098
506,-48011.168,-48011.168,-48011.070
